"[0.000 0.324 0.174 2.464 2.030 0.000 0.000 0.000 0.277 1.657 0.121 0.000
 0.486 0.042 0.411 -0.684 -1.000 0.972]",,
,0.29474741666944054,
,,0.29474139349258166
"[0.712 0.075 1.752 0.000 0.000 0.146 0.000 0.464 0.353 0.230 0.535 0.000
 1.000 -0.633 -1.000 -0.963 1.000 -0.146]",,
,0.2940349118084265,
,,0.2940339390408108
"[0.692 0.000 0.400 0.000 0.309 0.813 1.068 0.000 0.319 0.000 0.553 0.198
 0.506 -1.000 -0.809 -1.000 -0.828 -0.966]",,
,0.2950974954989305,
,,0.2950802899184519
"[0.000 0.000 0.000 0.413 0.095 0.275 0.241 0.000 0.060 0.000 0.000 0.000
 -0.432 -0.551 0.847 1.000 -0.354 -0.276]",,
,0.2947609097154435,
,,0.29474967222712917
"[1.434 0.605 0.935 0.000 0.109 0.000 0.133 0.000 0.000 0.147 0.321 0.540
 1.000 -0.065 -0.846 -1.000 1.000 -0.500]",,
,0.292596889437154,
,,0.2925862174883422
"[0.898 0.000 0.000 0.336 0.233 0.000 0.701 2.129 0.000 0.000 0.000 0.000
 -0.054 -0.368 0.369 -0.692 -1.000 -0.071]",,
,0.29441856946684164,
,,0.2944179753528073
"[0.000 0.143 0.421 0.974 0.000 1.315 0.000 0.919 0.000 0.001 0.000 0.454
 1.000 -0.611 -1.000 0.673 0.333 -0.275]",,
,0.2975349339184118,
,,0.29750028396812944
"[1.389 0.000 0.658 0.760 1.361 0.000 1.077 1.357 0.000 0.000 0.000 0.018
 -0.026 0.894 1.000 0.111 0.090 1.000]",,
,0.2914392413196865,
,,0.29139710853787126
"[0.753 0.620 0.385 0.000 0.000 0.000 0.000 0.000 1.393 0.000 0.487 0.000
 1.000 1.000 -0.323 0.908 -0.234 -1.000]",,
,0.2961066899859418,
,,0.29608228036429435
"[0.335 0.485 1.501 0.290 1.044 0.000 0.703 0.586 0.000 0.698 0.000 0.000
 0.404 -0.363 1.000 0.530 0.175 0.240]",,
,0.2944248094711877,
,,0.29442458576622677
"[1.266 1.778 1.032 0.508 0.819 0.000 2.254 0.914 0.862 0.000 0.000 0.978
 0.150 -1.000 1.000 -0.082 -0.939 0.443]",,
,0.2985226388552453,
,,0.29843287540283164
"[0.617 1.328 0.689 0.000 0.000 0.593 0.239 0.677 0.000 1.049 1.102 0.000
 -1.000 1.000 -1.000 0.538 -1.000 1.000]",,
,0.2936412601974283,
,,0.2936259540765971
"[0.000 0.000 0.228 0.000 0.145 0.000 0.866 0.000 0.537 0.000 0.436 0.016
 1.000 0.346 0.276 0.331 -0.363 1.000]",,
,0.2956799304840922,
,,0.2956657558465114
"[0.188 0.666 0.000 0.000 1.116 0.000 0.000 0.331 0.000 0.415 1.678 0.404
 0.689 -1.000 0.403 0.060 0.903 1.000]",,
,0.29443392297014315,
,,0.29443121425854446
"[0.387 0.000 0.000 0.000 1.129 0.000 0.901 0.000 0.689 0.000 0.000 0.441
 0.588 -1.000 -1.000 -0.691 -0.719 0.139]",,
,0.2947311068948423,
,,0.29473098018643085
"[0.510 0.000 0.000 0.000 1.801 0.000 0.000 0.915 0.000 0.000 1.420 0.000
 0.886 0.691 0.351 0.789 1.000 -0.440]",,
,0.29414875572654564,
,,0.29414119068344835
"[0.000 0.000 0.034 0.088 1.561 1.018 0.000 0.832 0.457 0.000 0.000 0.000
 0.529 0.210 0.202 -0.047 1.000 0.617]",,
,0.301358887980482,
,,0.3012662173206725
"[0.000 0.333 0.000 0.000 0.000 1.329 0.153 0.000 1.477 0.281 0.000 0.000
 0.289 -0.327 -0.700 0.224 -0.197 -0.567]",,
,0.2942652610604689,
,,0.2942622738048248
"[0.798 0.000 0.268 0.000 0.045 0.250 0.158 0.000 0.000 0.000 0.442 0.047
 -0.102 1.000 -0.792 -0.259 1.000 -0.922]",,
,0.2952077856571194,
,,0.295193145702074
"[0.000 1.740 0.000 0.000 0.640 0.312 0.000 0.000 0.746 0.000 1.550 0.212
 -0.107 0.107 0.413 -0.862 1.000 -1.000]",,
,0.2950097451602844,
,,0.2950080636777641
"[0.020 0.884 1.138 3.163 0.951 0.504 0.000 0.000 0.000 0.000 0.000 0.000
 -0.141 0.206 0.084 0.145 0.551 -1.000]",,
,0.29469338951558155,
,,0.2946418089644839
"[0.000 0.342 0.000 0.000 0.000 0.000 1.981 0.000 0.000 0.000 0.591 1.016
 -0.160 0.656 -0.439 0.876 1.000 1.000]",,
,0.2935889934631681,
,,0.29358610254961065
"[0.237 1.514 0.000 0.983 0.415 1.214 0.000 0.000 0.000 2.087 1.901 0.456
 0.074 0.123 0.121 -1.000 1.000 -0.293]",,
,0.29342387662746483,
,,0.2934228754632099
"[1.484 0.000 0.000 0.000 1.351 1.733 0.000 1.049 0.000 0.000 0.294 0.000
 1.000 -1.000 0.450 0.586 -0.180 0.662]",,
,0.29406835435897566,
,,0.29406537296433033
"[0.000 0.644 0.446 0.000 0.000 0.542 0.626 0.000 0.087 0.000 0.000 0.247
 -0.906 0.859 -1.000 1.000 -0.860 -0.752]",,
,0.2940968151423585,
,,0.29409547671544467
"[0.000 2.044 0.160 0.000 1.144 0.000 0.000 0.000 0.000 1.247 0.000 0.921
 -0.823 0.881 -1.000 -0.344 1.000 -1.000]",,
,0.2942551864858606,
,,0.29425307006512746
"[0.000 0.643 0.000 0.000 1.291 0.000 0.000 0.616 0.790 0.000 0.005 0.835
 0.212 0.103 -0.637 0.744 -0.844 -1.000]",,
,0.29893515047322267,
,,0.2988572365260899
"[0.000 0.197 0.224 0.448 0.000 0.000 0.000 0.000 0.838 0.000 0.000 0.000
 0.934 0.657 1.000 -0.530 1.000 0.144]",,
,0.2943668951387015,
,,0.2943665720581019
"[0.000 0.000 0.000 0.171 0.000 0.000 0.000 0.000 0.000 0.894 0.000 0.549
 -1.000 1.000 1.000 0.618 -1.000 -0.087]",,
,0.29419124590888635,
,,0.2941891056960011
"[0.000 0.797 0.000 1.110 0.000 0.092 0.000 0.087 0.000 0.000 0.000 0.536
 1.000 0.756 1.000 -0.135 -0.851 0.572]",,
,0.29683780004436394,
,,0.2967938212669573
"[0.595 1.043 0.000 0.000 0.000 0.434 0.234 0.000 0.000 0.000 0.956 0.006
 1.000 -0.854 -0.693 -0.659 -0.335 -1.000]",,
,0.2942425344196404,
,,0.29424120549626026
"[0.931 1.012 0.979 0.000 0.398 0.321 2.271 0.000 0.000 1.700 0.583 0.000
 1.000 0.352 -1.000 1.000 1.000 -1.000]",,
,0.29262757845326337,
,,0.29260511892348556
"[0.065 1.415 0.756 0.023 0.000 0.000 0.000 0.000 0.000 0.441 0.000 0.000
 0.294 1.000 0.097 -0.670 -1.000 -1.000]",,
,0.29418530701246853,
,,0.29418178074449547
"[0.000 0.000 2.353 1.478 0.168 0.000 0.490 1.185 0.000 0.000 0.411 0.547
 0.092 -0.321 0.338 0.075 1.000 -0.113]",,
,0.29487231986524465,
,,0.2948544006432187
"[1.571 2.458 1.254 0.000 0.000 0.000 1.170 2.451 0.701 1.572 1.043 0.000
 -0.497 1.000 0.283 -0.385 -0.732 1.000]",,
,0.2933965644429006,
,,0.2933742742629546
"[0.849 0.390 0.527 0.000 1.492 0.590 1.966 2.032 0.000 0.716 0.143 0.991
 0.696 0.280 1.000 -0.017 1.000 -0.970]",,
,0.2939210258204649,
,,0.2938993813299381
"[0.423 0.000 0.000 0.000 0.000 0.317 0.348 0.236 1.384 0.339 0.000 1.340
 1.000 -0.414 -0.790 -0.136 -1.000 1.000]",,
,0.2935093746311267,
,,0.2935074901861137
"[0.359 0.000 0.260 0.000 0.000 0.015 1.075 0.000 1.260 0.000 0.000 0.000
 -0.167 -0.405 1.000 -0.471 -1.000 0.450]",,
,0.29507925190175277,
,,0.2950644390327401
"[0.000 1.905 0.000 0.000 0.675 0.000 0.000 0.967 0.000 0.000 0.871 0.000
 0.619 -0.292 -0.667 -0.106 -0.852 -0.558]",,
,0.2926933610254779,
,,0.2926857360365239
"[0.000 2.208 2.286 1.806 0.000 0.000 1.020 0.000 0.000 0.000 0.308 0.300
 1.000 -1.000 -0.061 -0.668 -1.000 -1.000]",,
,0.29438742127624845,
,,0.2943860266675018
"[0.981 0.000 0.000 1.512 0.000 0.000 1.072 0.000 0.000 0.000 0.000 1.366
 1.000 -0.250 -0.773 0.019 -0.554 -0.309]",,
,0.2944563518553609,
,,0.2943536950822732
"[1.716 0.514 0.000 0.452 0.000 0.000 0.198 0.000 0.609 0.000 0.448 2.048
 0.298 -0.421 0.498 0.444 0.081 0.205]",,
,0.29392624222490094,
,,0.29386556792533564
