"[0.927 0.764 0.600 0.000 0.788 0.000 1.313 1.103 0.959 0.000 0.565 1.019
 0.965 1.000 -0.796 -0.260 1.000 0.341]",,
,0.1582065919503567,
,,0.15603832835740092
"[0.208 1.287 0.385 0.000 0.396 1.175 0.000 0.155 0.182 1.882 0.000 1.285
 0.504 -0.355 -0.017 0.208 -0.441 0.674]",,
,0.2942769245777306,
,,0.29427156109576
"[1.096 0.000 0.157 0.947 0.000 0.000 0.000 0.061 0.130 0.000 0.188 0.561
 -0.038 -0.221 1.000 -1.000 0.356 0.124]",,
,0.2944252534058287,
,,0.2944184472291692
"[1.422 0.000 0.000 0.368 0.000 0.677 0.000 0.000 0.051 0.000 0.018 0.000
 -0.009 0.089 -1.000 0.834 1.000 -1.000]",,
,0.29604475508052214,
,,0.29602437764698214
"[0.417 0.000 0.000 0.000 0.000 0.728 0.238 0.000 0.381 1.101 0.880 0.000
 1.000 0.450 -0.304 -0.326 -1.000 -1.000]",,
,0.2937148346508566,
,,0.29371339849841277
"[0.125 0.000 0.000 0.752 0.126 0.643 0.000 0.294 0.541 0.577 0.000 0.094
 0.790 0.276 0.333 -0.773 -1.000 -0.468]",,
,0.29059790849816913,
,,0.29049106649926804
"[1.452 0.000 0.236 1.296 1.568 0.260 0.000 0.201 0.140 1.116 0.000 0.954
 0.201 -0.270 0.571 0.456 0.818 1.000]",,
,0.29532949762224386,
,,0.295323827781267
"[1.644 1.023 0.000 0.000 0.000 0.000 0.240 0.136 0.000 0.780 0.000 0.000
 1.000 -0.547 -0.431 0.674 -0.189 -1.000]",,
,0.29399089099689885,
,,0.2939849203748489
"[2.041 0.000 0.193 0.451 0.899 0.000 0.194 1.739 0.287 0.745 0.009 0.098
 -0.755 -0.515 0.409 0.864 1.000 -0.303]",,
,0.2916790645211865,
,,0.2915630522218384
"[0.000 0.000 0.000 0.000 0.563 0.388 0.996 0.000 0.000 0.000 0.415 0.000
 -0.668 -0.533 0.021 -0.916 0.045 1.000]",,
,0.29399669185881466,
,,0.2939962345152764
"[1.005 0.195 0.000 0.000 0.838 0.000 1.516 0.720 0.428 3.622 0.000 0.188
 -0.068 0.613 0.001 -0.953 0.100 -0.260]",,
,0.2947965676841877,
,,0.29479493495349296
"[0.000 0.000 0.000 0.000 0.000 0.000 0.747 0.000 0.000 0.678 0.000 0.000
 0.427 0.367 0.161 0.519 -0.473 0.132]",,
,0.29392573836626956,
,,0.2938933967377558
"[0.000 0.000 0.423 0.000 0.000 0.000 0.000 0.532 0.000 0.000 1.117 0.000
 1.000 -0.746 -0.205 1.000 -0.409 0.270]",,
,0.2959075643062968,
,,0.29589007244146015
"[1.098 0.308 0.583 0.061 0.000 0.000 0.000 0.000 0.000 0.862 0.000 1.349
 -0.106 0.142 -0.065 -0.932 0.768 1.000]",,
,0.29474197051842227,
,,0.29473712701680294
"[1.027 0.348 0.000 0.190 0.062 0.000 0.683 0.000 0.457 0.000 0.341 0.000
 0.374 -1.000 0.078 -1.000 -0.334 0.176]",,
,0.293208302403375,
,,0.29320030176891293
"[0.000 0.433 0.000 0.576 0.842 0.000 0.878 0.000 0.000 2.071 0.430 0.000
 -1.000 1.000 -0.968 -0.642 -1.000 1.000]",,
,0.296285193373632,
,,0.2962455706309509
"[0.000 0.000 0.790 0.956 0.305 0.000 0.000 0.000 0.000 0.000 0.000 1.621
 0.403 -1.000 -0.570 -1.000 1.000 -0.410]",,
,0.29374396742401454,
,,0.2937428425197273
"[0.364 0.000 1.372 0.139 1.196 0.104 0.394 0.392 0.000 0.087 0.000 0.000
 0.156 0.178 -1.000 1.000 -0.873 -1.000]",,
,0.2943762476156171,
,,0.2943760360279253
"[0.239 1.407 1.023 1.086 1.845 0.458 0.310 2.766 0.000 2.435 0.000 0.586
 1.000 -0.697 0.547 0.821 -0.803 0.893]",,
,0.2947305157479151,
,,0.2947298912469068
"[0.000 0.743 0.592 0.740 0.000 0.673 0.497 0.212 0.000 0.270 0.544 0.000
 1.000 -0.285 0.350 1.000 -0.559 0.182]",,
,0.2963754940699628,
,,0.29635424776795344
"[0.000 0.000 2.414 0.000 0.000 0.035 0.000 1.290 1.390 0.000 0.000 0.000
 0.676 0.361 -1.000 0.731 1.000 -0.088]",,
,0.2946890275660262,
,,0.29468850987345774
