"[0.000 0.886 0.000 1.181 0.000 0.094 0.000 0.097 0.541 1.173 0.000 0.000
 0.010 0.944 0.038]",,
,0.29521835117591333,
,,0.29521753707385595
"[1.445 0.309 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
 -0.342 -1.000 -0.550]",,
,0.29398221051314344,
,,0.2939821928156456
"[0.000 0.890 0.000 0.000 0.000 0.000 1.571 0.000 1.379 0.000 0.589 0.144
 0.986 -1.000 1.000]",,
,0.29566687639665784,
,,0.29566657892740095
"[0.000 2.023 0.682 0.000 0.000 0.339 0.000 0.009 0.101 0.849 0.000 0.033
 1.000 -1.000 1.000]",,
,0.29405240085488665,
,,0.2940522314229928
"[0.000 2.044 0.032 0.000 0.000 0.771 0.347 0.512 1.343 1.521 1.578 0.148
 0.515 -0.732 -0.336]",,
,0.29445711676551956,
,,0.29445708723951447
"[0.000 0.422 0.000 0.000 0.000 1.107 0.338 0.471 1.359 0.048 0.000 0.056
 0.517 -1.000 1.000]",,
,0.294984128321746,
,,0.2949836620943381
"[0.000 0.000 0.000 0.000 0.000 1.747 1.101 1.586 0.801 0.000 0.000 0.209
 0.071 0.656 0.528]",,
,0.29405705212295635,
,,0.2940565355401026
"[0.000 0.739 0.348 0.199 0.000 0.121 1.306 1.168 0.000 0.000 0.000 0.187
 0.379 -0.156 -0.424]",,
,0.294185141602592,
,,0.29418512752456877
"[0.000 0.864 0.000 0.000 0.000 0.000 0.000 0.460 0.323 0.219 0.000 0.000
 1.000 0.892 -0.085]",,
,0.2942192345861359,
,,0.29421921373416793
"[0.510 2.059 0.000 1.455 0.000 0.000 0.000 0.000 0.000 1.385 0.000 0.985
 -0.052 -0.022 -0.042]",,
,0.29430002478502804,
,,0.29430002478500855
"[0.934 0.262 0.641 0.730 0.000 0.762 1.863 2.082 0.000 0.003 1.202 0.602
 -1.000 -0.635 -0.439]",,
,0.29542708483430896,
,,0.2954257487421428
"[0.302 1.136 0.592 2.136 0.000 0.412 0.000 0.000 0.689 0.000 0.000 0.664
 -0.603 -0.628 0.607]",,
,0.29429699853298613,
,,0.29429698774089713
"[0.000 0.551 0.114 0.000 0.000 0.544 0.000 1.141 0.000 0.994 0.070 0.000
 0.711 -1.000 0.055]",,
,0.29379219473253576,
,,0.2937915678040501
"[2.015 2.899 0.132 0.000 0.000 1.488 0.000 0.000 0.000 1.047 0.000 0.000
 1.000 1.000 -0.559]",,
,0.2943082306439046,
,,0.29430800912573934
"[0.872 0.000 0.652 0.000 0.000 0.145 0.917 1.303 1.976 2.592 0.000 0.519
 0.625 1.000 0.484]",,
,0.2908961283993499,
,,0.2908872889126074
"[0.000 0.000 0.000 1.434 0.730 0.970 1.894 0.391 1.210 0.000 0.992 0.712
 -0.394 -1.000 -1.000]",,
,0.29194285118478247,
,,0.29193795823983354
"[0.403 0.000 0.000 0.730 0.000 0.000 0.224 0.088 1.016 0.172 0.000 0.000
 1.000 0.608 1.000]",,
,0.2945702439844387,
,,0.29457016536448793
"[0.599 0.851 1.554 1.410 0.000 0.000 0.664 0.000 0.000 0.000 0.000 0.000
 -0.378 -1.000 -0.500]",,
,0.2938922384780377,
,,0.29389206358879133
"[0.000 0.565 0.055 0.147 1.650 0.000 1.721 0.000 2.234 0.141 0.615 0.000
 0.940 -0.691 0.857]",,
,0.29384580091914303,
,,0.2938457045361212
"[1.937 0.508 0.000 0.816 1.059 0.000 0.000 0.000 0.916 1.777 0.000 0.000
 -0.324 -0.630 1.000]",,
,0.29607172203484505,
,,0.2960678262475811
"[1.236 0.494 0.000 0.132 0.586 0.000 0.000 0.000 0.000 0.000 0.000 1.709
 -0.858 0.589 -0.036]",,
,0.2930019483875029,
,,0.2930006047355976
"[0.764 2.323 0.000 0.807 0.815 0.000 0.261 0.120 0.000 1.184 0.000 0.000
 0.857 0.720 -0.637]",,
,0.29434903911200955,
,,0.29434878891396427
"[1.408 0.090 0.406 0.618 0.000 0.000 0.170 0.064 0.000 0.907 0.000 1.621
 -0.865 0.475 -0.235]",,
,0.2942656864080893,
,,0.29426533825234447
"[0.000 0.682 0.667 0.000 0.000 0.000 0.272 0.000 0.040 0.854 0.515 0.000
 1.000 -0.359 -0.813]",,
,0.2940933314556503,
,,0.294093273124789
"[0.000 0.000 0.000 0.000 0.000 0.000 0.980 1.077 0.000 0.634 1.978 0.000
 -0.519 -0.825 -1.000]",,
,0.2946031396135035,
,,0.29460236500824655
